EmpID,EmpName,EngDt,TermDt,DepID,GenderID,RaceID,MgrID,DOB,PayRate,Level
1,"Nash, Kay K",01/01/2015,29/May/2017,8,1,1,1,12/Feb/1987,,1
2,"Simpson, Raymond X",01/01/2015,,7,0,4,2,15/Nov/1982,,1
3,"Devlin, Kay M",06/10/2015,24/Jun/2019,10,1,5,3,22/Feb/1986,,1
4,"Massie, Elisabeth V",01/01/2015,,4,1,2,4,25/May/1977,,1
5,"Mead, Catherine N",22/05/2015,15/Jul/2020,8,1,1,1,04/Apr/1995,,2
6,"Wright, Linda K",11/07/2015,18/Jun/2022,10,1,2,3,13/Feb/1989,,2
7,"Gibbs, David A",04/12/2015,08/Oct/2018,3,0,4,7,06/May/1983,,1
8,"Shute, Sarah F",01/01/2015,,9,1,2,8,11/Apr/1986,,1
9,"Woolley, Paulin P",01/01/2015,22/Feb/2015,4,0,4,4,06/Jan/1995,,2
10,"Woodbridge, Irene A",09/05/2015,15/Jun/2022,1,1,5,10,21/Jun/1985,,1
11,"Richardson, Bhavna C",11/05/2015,29/Sep/2021,9,1,2,8,31/Jul/1978,,2
12,"Lamb, Daniel U",24/12/2015,,6,0,5,12,03/Feb/1975,,1
13,"Seabrook, Sonia S",01/01/2015,,1,1,2,10,17/Dec/1990,,2
14,"Powell, David V",26/07/2015,,6,0,5,12,02/May/1978,,2
15,"Nielson, Paulin V",13/03/2016,,4,0,2,4,19/Nov/1974,,2
16,"Goddard, Joanna R",01/01/2015,,7,1,5,2,27/Aug/1972,,2
17,"Webb, Steven C",08/10/2015,,3,0,2,7,26/Oct/1987,,2
18,"Channing, Francis C",21/03/2015,,7,0,5,2,31/Jan/1968,,2
19,"Richards, Iris K",01/01/2015,,9,1,5,8,03/Oct/1968,,2
20,"Ewart, Amanda B",01/01/2015,,7,1,4,2,12/Feb/1981,,2
21,"Gorton, Adele W",29/09/2015,,4,1,3,4,07/Sep/1985,,2
22,"Andrews, Sally X",03/05/2016,27/Sep/2022,10,1,3,3,19/Jun/1983,,2
23,"Bennett, Andrew Y",01/01/2015,,1,0,5,10,21/Nov/1962,,2
24,"Cousins, Phyllis C",05/02/2015,,1,1,4,10,13/Mar/1974,,2
25,"Richards, Graham F",19/12/2015,,7,0,1,2,30/Oct/1985,,2
26,"Kenney, Frances L",01/01/2015,,8,1,1,1,25/Jan/1967,,2
27,"John, Adam Q",04/09/2015,,2,0,4,27,03/Jan/1955,,1
28,"Wynn, Adam Y",27/09/2015,30/Oct/2021,1,0,4,10,05/May/1979,,2
29,"Gadd, Morag H",21/04/2015,,8,1,5,1,17/Oct/1988,,2
30,"Fleet, Sarah V",02/02/2015,,5,1,3,30,28/Mar/1978,,1
31,"Rawson, Nishma P",01/01/2015,28/Jul/2018,8,1,5,1,17/Nov/1953,,2
32,"Primrose, Adam S",27/03/2015,,3,0,5,7,28/Sep/1969,,2
33,"Parke, Robert F",17/10/2015,,9,0,2,8,02/Jul/1962,,2
34,"Gorton, Daniel H",01/01/2015,,5,0,5,30,20/Nov/1954,,2
35,"Wilson, John Z",01/01/2015,,1,0,5,10,12/Feb/1964,,2
36,"Coombs, Antony P",04/06/2015,,10,0,1,3,04/Feb/1974,,2
37,"Stevenson, Frank D",09/05/2017,,6,0,1,12,03/Feb/1975,,2
38,"McCarthy, Philip X",01/01/2016,,2,0,1,27,27/Jul/1974,,2
39,"Wilson, Bruno A",01/01/2015,,7,0,3,2,14/Oct/1972,,2
40,"Dingley, Jayne T",11/05/2015,27/Aug/2015,6,1,5,12,05/Jul/1964,,2
